distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,temp_diff,trip_consume,trip_cost
13.2,4.3,51,20.0,11,SP98,0,1,0,9.0,0.5675999999999999,0.8286959999999998
13.0,5.0,45,20.0,11,SP98,0,1,0,9.0,0.65,0.949
12.9,5.1,32,20.0,11,SP98,0,0,0,9.0,0.6578999999999999,0.9605339999999999
13.9,5.6,22,20.0,8,SP98,0,0,0,12.0,0.7784,1.136464
11.8,4.3,37,20.0,6,SP98,0,0,0,14.0,0.5074,0.7408039999999999
12.2,5.8,60,20.0,11,SP98,0,0,0,9.0,0.7075999999999999,1.0330959999999998
12.5,4.0,51,20.0,13,SP98,0,0,0,7.0,0.5,0.73
12.4,4.7,43,21.5,10,SP98,0,0,0,11.5,0.5828,0.850888
11.8,5.9,21,20.0,9,SP98,1,1,0,11.0,0.6962,1.0164520000000001
11.8,5.3,52,21.5,11,SP98,0,0,0,10.5,0.6254000000000001,0.9130840000000001
12.5,4.2,57,20.0,11,SP98,0,0,0,9.0,0.525,0.7665
15.7,5.3,33,21.5,9,SP98,0,0,0,12.5,0.8321,1.214866
12.9,5.7,35,21.5,9,SP98,0,0,0,12.5,0.7353000000000001,1.073538
6.4,4.4,37,21.5,10,SP98,0,0,0,11.5,0.2816,0.411136
5.3,4.1,34,21.5,9,SP98,0,0,0,12.5,0.21729999999999997,0.31725799999999993
26.2,5.8,71,21.0,8,SP98,1,1,0,13.0,1.5195999999999998,2.218616
18.8,5.0,62,21.5,9,SP98,0,1,0,12.5,0.9400000000000001,1.3724
4.9,6.9,25,21.0,12,SP98,0,1,0,9.0,0.33810000000000007,0.49362600000000006
12.4,5.4,18,21.0,11,SP98,1,1,0,10.0,0.6696000000000001,0.9776160000000002
22.9,5.3,45,20.5,7,SP98,0,0,0,13.5,1.2137,1.7720019999999999
162.7,5.5,75,23.0,1,SP98,0,0,0,22.0,8.9485,13.064809999999998
4.9,6.5,26,21.0,1,SP98,0,0,0,20.0,0.31850000000000006,0.4650100000000001
11.8,4.7,36,21.0,4,SP98,0,0,0,17.0,0.5546,0.809716
16.6,5.1,56,21.0,7,SP98,0,0,0,14.0,0.8466,1.236036
12.4,5.7,37,21.0,7,SP98,0,0,0,14.0,0.7068000000000001,1.0319280000000002
15.9,5.4,25,21.0,7,SP98,0,0,0,14.0,0.8586000000000001,1.2535560000000001
5.1,8.7,21,23.5,5,SP98,0,0,0,18.5,0.44369999999999993,0.6478019999999999
22.4,4.9,66,20.5,7,SP98,0,0,0,13.5,1.0976,1.602496
31.1,4.7,42,20.5,7,SP98,0,0,0,13.5,1.4617,2.134082
4.9,6.3,27,20.5,3,SP98,0,0,0,17.5,0.30870000000000003,0.45070200000000005
11.8,5.1,26,23.0,4,SP98,0,1,0,19.0,0.6018,0.878628
22.9,6.0,42,23.0,4,SP98,0,1,0,19.0,1.3739999999999999,2.0060399999999996
12.4,4.6,38,23.0,1,SP98,0,1,0,22.0,0.5704,0.832784
12.9,5.8,40,23.0,4,SP98,0,0,0,19.0,0.7482,1.092372
11.8,5.1,43,23.0,0,SP98,0,0,0,23.0,0.6018,0.878628
12.2,5.8,58,23.0,2,SP98,0,0,0,21.0,0.7075999999999999,1.0330959999999998
24.8,4.6,55,23.0,3,SP98,0,0,0,20.0,1.1408,1.665568
14.2,5.6,24,23.0,8,SP98,0,0,0,15.0,0.7951999999999999,1.1609919999999998
11.8,4.6,38,23.0,0,SP98,0,1,0,23.0,0.5428000000000001,0.7924880000000001
12.2,6.3,57,23.0,0,SP98,0,1,0,23.0,0.7686,1.122156
24.7,5.5,56,25.0,1,SP98,0,0,0,24.0,1.3585,1.9834100000000001
6.8,4.3,46,24.0,2,SP98,0,0,0,22.0,0.2924,0.426904
17.3,5.6,37,21.5,1,SP98,0,0,0,20.5,0.9688,1.414448
11.8,4.3,44,21.5,-3,SP98,0,0,0,24.5,0.5074,0.7408039999999999
15.9,5.7,46,21.5,5,SP98,0,0,0,16.5,0.9063000000000001,1.323198
5.1,6.4,39,21.5,4,SP98,0,0,0,17.5,0.32639999999999997,0.47654399999999997
16.1,4.5,33,21.5,6,SP98,0,0,0,15.5,0.7245,1.05777
11.8,4.5,43,21.5,3,SP98,0,0,0,18.5,0.531,0.7752600000000001
